tool1,tool2,delta_IC,delta_FlipScore,delta_MeanPairwiseID,delta_Mismatch,delta_Match,label
mafft,muscle,0.0018479999999999608,0.01732100000000003,0.0007590000000000652,-0.0005070000000000074,0.0005060000000000064,1
clustal,mafft,-0.0017639999999999878,-0.0010189999999999921,-0.0005899999999999794,0.0005070000000000074,-0.0005060000000000064,1
clustal,tcoffee,-0.0030440000000000467,0.005604000000000053,-0.0014339999999999353,0.0015190000000000065,-0.0015180000000000193,0
clustal,muscle,8.399999999997299e-05,0.01630200000000004,0.00016900000000008575,0.0,0.0,1
tcoffee,mafft,0.0012800000000000589,-0.0066230000000000455,0.0008439999999999559,-0.001011999999999999,0.0010120000000000129,1
tcoffee,clustal,0.0030440000000000467,-0.005604000000000053,0.0014339999999999353,-0.0015190000000000065,0.0015180000000000193,1
tcoffee,muscle,0.0031280000000000197,0.010697999999999985,0.001603000000000021,-0.0015190000000000065,0.0015180000000000193,1
muscle,mafft,-0.0018479999999999608,-0.01732100000000003,-0.0007590000000000652,0.0005070000000000074,-0.0005060000000000064,0
muscle,clustal,-8.399999999997299e-05,-0.01630200000000004,-0.00016900000000008575,0.0,0.0,0
muscle,tcoffee,-0.0031280000000000197,-0.010697999999999985,-0.001603000000000021,0.0015190000000000065,-0.0015180000000000193,0
mafft,clustal,0.005506999999999984,0.011872999999999911,-0.008021999999999974,0.006951999999999986,-0.006952000000000069,1
mafft,tcoffee,-0.06311,0.04733299999999996,0.002870000000000039,0.024917999999999996,0.006135999999999919,0
mafft,muscle,-0.02012999999999998,0.00926999999999989,-0.021712999999999982,0.011563999999999991,-0.019683000000000006,1
clustal,mafft,-0.005506999999999984,-0.011872999999999911,0.008021999999999974,-0.006951999999999986,0.006952000000000069,0
clustal,tcoffee,-0.06861699999999998,0.03546000000000005,0.010892000000000013,0.01796600000000001,0.013087999999999989,0
clustal,muscle,-0.025636999999999965,-0.002603000000000022,-0.013691000000000009,0.004612000000000005,-0.012730999999999937,1
tcoffee,mafft,0.06311,-0.04733299999999996,-0.002870000000000039,-0.024917999999999996,-0.006135999999999919,1
